上当学乖 (shang,dang,xue,guai)
上相 (shang,xiang)
上调 (shang,diao)
上铺 (shang,pu)
下不为例 (xia,bu,wei,li)
下乘 (xia,sheng)
下卷 (xia,juan)
下处 (xia,chu)
下头 (xia,tou)
下巴颏 (xia,ba,ke)
下调 (xia,diao)
下辈子 (xia,bei,zi)
下铺 (xia,pu)
不一会儿 (bu,yi,hui,er)
不一定 (bu,yi,ding)
不一样 (bu,yi,yang)
不三不四 (bu,san,bu,si)
不为五斗米折腰 (bu,wei,wu,dou,mi,zhe,yao)
不为人知 (bu,wei,ren,zhi)
不为名不为利 (bu,wei,ming,bu,wei,li)
不为已甚 (bu,wei,yi,shen)
不义 (bu,yi)
不义之财 (bu,yi,zhi,cai)
不了 (bu,liao)
不了不当 (bu,liao,bu,dang)
不了了之 (bu,liao,liao,zhi)
不了而了 (bu,liao,er,liao)
不亦乐乎 (bu,yi,le,hu)
不亦善夫 (bu,yi,shan,fu)
不亦说乎 (bu,yi,yue,hu)
不以为然 (bu,yi,wei,ran)
不以语人 (bu,yi,yu,ren)
不会 (bu,hui)
不但 (bu,dan)
不住 (bu,zhu)
不值识者一笑 (bu,zhi,shi,zhe,yi,xiao)
不兴 (bu,xing)
不切实际 (bu,qie,shi,ji)
不切题 (bu,qie,ti)
不到 (bu,dao)
不到位 (bu,dao,wei)
不到长城非好汉 (bu,dao,chang,cheng,fei,hao,han)
不到黄河心不死 (bu,dao,huang,he,xin,bu,si)
不务正业 (bu,wu,zheng,ye)
不动如山 (bu,dong,ru,shan)
不卑不亢 (bu,bei,bu,kang)
不厌其烦 (bu,yan,qi,fan)
不可奈何 (bu,ke,mai,he)
不可揆度 (bu,ke,kui,duo)
不可胜举 (bu,ke,sheng,ju)
不吝赐教 (bu,lin,ci,jiao)
不含糊 (bu,han,hu)
不在乎 (bu,zai,hu)
不堪一击 (bu,kan,yi,ji)
不声不吭 (bu,sheng,bu,keng)
不大方便 (bu,da,fang,bian)
不安分 (bu,an,fen)
不客气 (bu,ke,qi)
不寐 (bu,mei)
不对 (bu,dui)
不对劲 (bu,dui,jin)
不对头 (bu,dui,tou)
不对茬儿 (bu,dui,cha,er)
不屑 (bu,xie)
不屑一读 (bu,xie,yi,du)
不屑一顾 (bu,xie,yi,gu)
不屑于 (bu,xie,yu)
不屑意 (bu,xie,yi)
不屑教诲 (bu,xie,jiao,hui)
不屑毁誉 (bu,xie,hui,yu)
不差 (bu,cha)
不差上下 (bu,cha,shang,xia)
不差什么 (bu,cha,shi,mo)
不差毫厘 (bu,cha,hao,li)
不差毫发 (bu,cha,hao,fa)
不差累黍 (bu,cha,lei,shu)
不干 (bu,gan)
不干不净 (bu,gan,bu,jing)
不幸而言中 (bu,xing,er,yan,zhong)
不当 (bu,dang)
不当不正 (bu,dang,bu,zheng)
不当人子 (bu,dang,ren,zi)
不徇私情 (bu,xun,si,qing)
不得了 (bu,de,liao)
不得已而为之 (bu,de,yi,er,wei,zhi)
不必 (bu,bi)
不忘宿志 (bu,wang,su,zhi)
不忿 (bu,fen)
不怀好意 (bu,huai,hao,yi)
不悦 (bu,yue)
不惜一切代价 (bu,xi,yi,qie,dai,jia)
不愧 (bu,kui)
不愧下学 (bu,kui,xia,xue)
不愧不作 (bu,kui,bu,zuo)
不愧不怍 (bu,kui,bu,zuo)
不愧屋漏 (bu,kui,wu,lou)
不慎 (bu,shen)
不懈 (bu,xie)
不战而胜 (bu,zhan,er,sheng)
不战而降 (bu,zhan,er,xiang)
不拔一毛 (bu,ba,yi,mao)
不拘形迹 (bu,ju,xing,ji)
不揣冒昧 (bu,chuai,mao,mei)
不揪不睬 (bu,chou,bu,cai)
不敢为天下先 (bu,gan,wei,tian,xia,xian)
不敢越雷池一步 (bu,gan,yue,lei,chi,yi,bu)
不料 (bu,liao)
不易之论 (bu,yi,zhi,lun)
不是 (bu,shi)
不是冤家不聚头 (bu,shi,yuan,jia,bu,ju,tou)
不是味儿 (bu,shi,wei,er)
不根之谈 (bu,gan,zhi,tan)
不正常 (bu,zheng,chang)
不治之症 (bu,zhi,zhi,zheng)
不点儿 (bu,dian,er)
不爽累黍 (bu,shuang,lei,shu)
不犯着 (bu,fan,zhao)
不甚了了 (bu,shen,liao,liao)
不用说 (bu,yong,shuo)
不由得 (bu,you,de)
不痛不痒 (bu,tong,bu,yang)
不登大雅 (bu,deng,da,ya)
不登大雅之堂 (bu,deng,da,ya,zhi,tang)
不相为谋 (bu,xiang,wei,mou)
不省人事 (bu,xing,ren,shi)
不着边际 (bu,zhuo,bian,ji)
不知薡蕫 (bu,zhi,ding,dong)
不紧不慢 (bu,jin,bu,man)
不绝如发 (bu,jue,ru,fa)
不置可否 (bu,zhi,ke,fou)
不翼而飞 (bu,yi,er,fei)
不老少 (bu,lao,shao)
不耐烦 (bu,nai,fan)
不肖 (bu,xiao)
不肖子 (bu,xiao,zi)
不肖子孙 (bu,xiao,zi,sun)
不胜 (bu,sheng)
不胜其任 (bu,sheng,qi,ren)
不胜其烦 (bu,sheng,qi,fan)
不胜其苦 (bu,sheng,qi,ku)
不胜杯杓 (bu,sheng,bei,shao)
不胜枚举 (bu,sheng,mei,ju)
不胜桮杓 (bu,sheng,bei,shao)
不胫而走 (bu,jing,er,zou)
不能登大雅之堂 (bu,neng,deng,da,ya,zhi,tang)
不自量力 (bu,zi,liang,li)
不舒服 (bu,shu,fu)
不蔓不枝 (bu,man,bu,zhi)
不要 (bu,yao)
不要怕 (bu,yao,pa)
不要紧 (bu,yao,jin)
不要脸 (bu,yao,lian)
不见 (bu,jian)
不见不散 (bu,jian,bu,san)
不见了 (bu,jian,le)
不见天日 (bu,jian,tian,ri)
不见得 (bu,jian,de)
不见棺材不下泪 (bu,jian,guan,cai,bu,xia,lei)
不见棺材不落泪 (bu,jian,guan,cai,bu,luo,lei)
不见经传 (bu,jian,jing,zhuan)
不见舆薪 (bu,jian,yu,xin)
不计其数 (bu,ji,qi,shu)
不计得失 (bu,ji,de,shi)
不记得 (bu,ji,de)
不论 (bu,lun)
不论如何 (bu,lun,ru,he)
不费吹灰之力 (bu,fei,chui,hui,zhi,li)
不赖 (bu,lai)
不赞一词 (bu,zan,yi,ci)
不越雷池 (bu,yue,lei,shi)
不足为凭 (bu,zu,wei,ping)
不足为外人道 (bu,zu,wei,wai,ren,dao)
不足为奇 (bu,zu,wei,qi)
不足为意 (bu,zu,wei,yi)
不足为据 (bu,zu,wei,ju)
不足为法 (bu,zu,wei,fa)
不足为训 (bu,zu,wei,xun)
不辟斧钺 (bu,bi,fu,yue)
不辩菽麦 (bu,bian,shu,mai)
不适合 (bu,shi,he)
不透明 (bu,tou,ming)
不速之客 (bu,su,zhi,ke)
不遂 (bu,sui)
不遑启处 (bu,huang,qi,chu)
不遑宁处 (bu,huang,ning,chu)
不道德 (bu,dao,de)
不重要 (bu,zhong,yao)
不错 (bu,cuo)
不问事实真相 (bu,wen,shi,shi,zhen,xiang)
不问年龄大小 (bu,wen,nian,ling,da,xiao)
不问是非曲直 (bu,wen,shi,fei,qu,zhi)
不间不界 (bu,gan,bu,ga)
不闻不问 (bu,wen,bu,wen)
不随以止 (bu,shui,yi,zi)
不露圭角 (bu,lu,gui,jiao)
不露声色 (bu,lu,sheng,se)
不露形色 (bu,lu,xing,se)
不露神色 (bu,lu,shen,se)
不露锋芒 (bu,lu,feng,mang)
不露锋铓 (bu,lu,feng,hui)
不顾一切 (bu,gu,yi,qie)
与世无争 (yu,shi,wu,zheng)
与世沉浮 (yu,shi,chen,fu)
与人为善 (yu,ren,wei,shan)
与会 (yu,hui)
与时消息 (yu,shi,xiao,xi)
与民更始 (yu,ren,geng,shi)
与民除害 (yu,hu,chu,hai)
与赛 (yu,sai)
与闻 (yu,wen)
丑媳妇总得见公婆 (chou,xi,fu,zong,de,jian,gong,po)
丑态毕露 (chou,tai,bi,lu)
丑相 (chou,xiang)
丑角 (chou,jue)
专差 (zhuan,chai)
专心一致 (zhuan,xin,yi,zhi)
专横 (zhuan,heng)
专横跋扈 (zhuan,heng,ba,hu)
且住为佳 (qie,zhu,wei,jia)
且食蛤蜊 (qie,shi,ha,li)
东三省 (dong,san,xing)
东墙处子 (dong,qiang,chu,zi)
东扯西拽 (dong,che,xi,zhuai)
东抹西涂 (dong,mo,xi,tu)
东方将白 (dong,fang,jiang,bai)
东猜西揣 (dong,cai,xi,chuai)
东莞 (dong,guan)
东西南北人 (dong,xi,nan,bei,ren)
东西南北客 (dong,xi,nan,bei,ke)
东观西望 (dong,guang,xi,wang)
东躲西藏 (dong,duo,xi,cang)
东量西折 (dong,liang,xi,she)
东阿 (dong,e)
丝恩发怨 (si,en,fa,yuan)
丞相 (cheng,xiang)
丢三落四 (diu,san,la,si)
丢下耙儿弄扫帚 (diu,xia,pa,er,nong,sao,zhou)
丢卒保车 (diu,zu,bao,ju)
丢面子 (diu,mian,zi)
两世为人 (liang,shi,wei,ren)
两口子 (liang,kou,zi)
严丝合缝 (yan,si,he,feng)
严处 (yan,chu)
严查 (yan,zha)
严禁 (yan,jin)
丧乱 (sang,luan)
丧事 (sang,shi)
丧假 (sang,jia)
丧偶 (sang,ou)
丧失 (sang,shi)
丧家 (sang,jia)
丧家之犬 (sang,jia,zhi,quan)
丧家之狗 (sang,jia,zhi,gou)
丧家犬 (sang,jia,quan)
丧尽天良 (sang,jin,tian,liang)
丧服 (sang,fu)
丧权 (sang,quan)
丧气 (sang,qi)
丧生 (sang,sheng)
丧礼 (sang,li)
丧胆 (sang,dan)
丧胆销魂 (sang,hun,xiao,hun)
丧葬 (sang,zang)
丧钟 (sang,zhong)
丧魂落魄 (sang,hun,luo,po)
个头儿 (ge,tou,er)
个子 (ge,zi)
丫头 (ya,tou)
丫杈 (ya,cha)
中伤 (zhong,shang)
中卷 (zhong,juan)
中奖 (zhong,jiang)
中将 (zhong,jiang)
中弹 (zhong,dan)
中彩 (zhong,cai)
中招 (zhong,zhao)
中暑 (zhong,shu)
中标 (zhong,biao)
中毒 (zhong,du)
中牟 (zhong,mu)
中的 (zhong,di)
中缝 (zhong,feng)
中行 (zhong,hang)
中计 (zhong,ji)
中靶 (zhong,ba)
中风 (zhong,feng)
中风瘫痪 (zhong,feng,tan,huan)
丰屋蔀家 (feng,wu,zhi,jia)
临危不惧 (lin,wei,bu,ju)
临帖 (lin,tie)
临敌易将 (lin,di,yi,jiang)
临深履薄 (lin,shen,lv,bo)
临难 (lin,nan)
临难不恐 (lin,nan,bu,kong)
临难不惧 (lin,nan,bu,ju)
临难不避 (lin,nan,bu,bi)
临难无慑 (lin,nan,wu,she)
临难苟免 (lin,nan,gou,mian)
临难铸兵 (lin,nan,zhu,bing)
丸子 (wan,zi)
丹凤朝阳 (dan,feng,chao,yang)
丹参 (dan,shen)
丹心碧血 (dan,xin,bi,xue)
为主 (wei,zhu)
为之语塞 (wei,zhi,yu,se)
为五斗米折腰 (wei,wu,dou,mi,zhe,yao)
为人 (wei,ren)
为人作嫁 (wei,ren,zuo,jia)
为人师表 (wei,ren,shi,biao)
为人说项 (wei,ren,shuo,xiang)
为什么 (wei,shen,me)
为仁不富 (wei,ren,bu,fu)
为伍 (wei,wu)
为啥 (wei,sha)
为善最乐 (wei,shan,zui,le)
为国为民 (wei,guo,wei,min)
为国捐躯 (wei,guo,juan,qu)
为好成歉 (wei,hao,cheng,qian)
为害 (wei,hai)
为富不仁 (wei,fu,bu,ren)
为山止篑 (wei,shan,zhi,kui)
为德不卒 (wei,de,bu,zu)
为德不终 (wei,de,bu,zhong)
为恶不悛 (wei,e,bu,quan)
为患 (wei,huan)
为所欲为 (wei,suo,yu,wei)
为政 (wei,zheng)
为数 (wei,shu)
为时 (wei,shi)
为时过早 (wei,shi,guo,zao)
为期 (wei,qi)
为止 (wei,zhi)
为此 (wei,ci)
为民父母 (wei,min,fu,mu)
为法自弊 (wei,fa,zi,bi)
为生 (wei,sheng)
为着 (wei,zhe)
为虎作伥 (wei,hu,zuo,chang)
为虺弗摧 (wei,hui,fu,cui)
为蛇添足 (wei,she,tian,zu)
为蛇画足 (wei,she,hua,zu)
为裘为箕 (wei,qiu,wei,ji)
为限 (wei,xian)
为难 (wei,nan)
为非作恶 (wei,fei,zuo,e)
为非作歹 (wei,fei,zuo,dai)
为饥寒所迫 (wei,ji,han,suo,po)
为首 (wei,shou)
为鬼为蜮 (wei,gui,wei,yu)
主仆 (zhu,pu)
主将 (zhu,jiang)
主干 (zhu,gan)
主干线 (zhu,gan,xian)
主角 (zhu,jue)
主调 (zhu,diao)
丽水 (li,shui)
丽都 (li,du)
举不胜举 (ju,bu,sheng,ju)
举手相庆 (ju,shou,xiang,qing)
举措不当 (ju,cuo,bu,dang)
久要不忘 (jiu,yao,bu,wang)
义薄云天 (yi,bo,yun,tian)
乌头白马生角 (wu,tou,bai,ma,sheng,jiao)
乌拉 (wu,la)
乏累 (fa,lei)
乐善好施 (le,shan,hao,shi)
乐器 (yue,pu)
乐团 (yue,tuan)
乐坛 (yue,tan)
乐子 (le,zi)
乐官 (yue,guan)
乐山乐水 (yao,shan,yao,shui)
乐工 (yue,gong)
乐师 (yue,shi)
乐府 (yue,fu)
乐府诗 (yue,fu,shi)
乐律 (yue,lv)
乐得 (le,de)
乐感 (yue,gan)
乐户 (yue,hu)
乐曲 (yue,qu)
乐歌 (yue,ge)
乐毅 (yue,yi)
乐池 (yue,chi)
乐清 (yue,qing)
乐章 (yue,zhang)
乐舞 (yue,wu)
